Date,Sales(Millions)
1992-01-01,7174
1992-02-01,7069
1992-03-01,7327
1992-04-01,7445
1992-05-01,7395
1992-06-01,7294
1992-07-01,7187
1992-08-01,7224
1992-09-01,6985
1992-10-01,7377
1992-11-01,7032
1992-12-01,9133
1993-01-01,7087
1993-02-01,7059
1993-03-01,7629
1993-04-01,7633
1993-05-01,7591
1993-06-01,7553
1993-07-01,7580
1993-08-01,7450
1993-09-01,7312
1993-10-01,7463
1993-11-01,7446
1993-12-01,9735
1994-01-01,7431
1994-02-01,7136
1994-03-01,7986
1994-04-01,7679
1994-05-01,7942
1994-06-01,7886
1994-07-01,7757
1994-08-01,8032
1994-09-01,7730
1994-10-01,7882
1994-11-01,7844
1994-12-01,9996
1995-01-01,7915
1995-02-01,7658
1995-03-01,8370
1995-04-01,8140
1995-05-01,8571
1995-06-01,8382
1995-07-01,8075
1995-08-01,8375
1995-09-01,8073
1995-10-01,8296
1995-11-01,8344
1995-12-01,10327
1996-01-01,8312
1996-02-01,8418
1996-03-01,8866
1996-04-01,8807
1996-05-01,9260
1996-06-01,8715
1996-07-01,8978
1996-08-01,9082
1996-09-01,8521
1996-10-01,9195
1996-11-01,9037
1996-12-01,11195
1997-01-01,9216
1997-02-01,8935
1997-03-01,9861
1997-04-01,9385
1997-05-01,9859
1997-06-01,9618
1997-07-01,9748
1997-08-01,9659
1997-09-01,9498
1997-10-01,9917
1997-11-01,9613
1997-12-01,12106
1998-01-01,10075
1998-02-01,9655
1998-03-01,10329
1998-04-01,10490
1998-05-01,10606
1998-06-01,10523
1998-07-01,10631
1998-08-01,10625
1998-09-01,10333
1998-10-01,10866
1998-11-01,10684
1998-12-01,13276
1999-01-01,10892
1999-02-01,10700
1999-03-01,11817
1999-04-01,11460
1999-05-01,11682
1999-06-01,11625
1999-07-01,11540
1999-08-01,11506
1999-09-01,11295
1999-10-01,11700
1999-11-01,11864
1999-12-01,14934
2000-01-01,11817
2000-02-01,11999
2000-03-01,12800
2000-04-01,12285
2000-05-01,13085
2000-06-01,12660
2000-07-01,12383
2000-08-01,12874
2000-09-01,12452
2000-10-01,12919
2000-11-01,12904
2000-12-01,15278
2001-01-01,13182
2001-02-01,12723
2001-03-01,13833
2001-04-01,13315
2001-05-01,14062
2001-06-01,13507
2001-07-01,13367
2001-08-01,13886
2001-09-01,12822
2001-10-01,14161
2001-11-01,13837
2001-12-01,15971
2002-01-01,14310
2002-02-01,13837
2002-03-01,14866
2002-04-01,14690
2002-05-01,15220
2002-06-01,14261
2002-07-01,14711
2002-08-01,14888
2002-09-01,14273
2002-10-01,15127
2002-11-01,14772
2002-12-01,16992
2003-01-01,15374
2003-02-01,14613
2003-03-01,15672
2003-04-01,15558
2003-05-01,15990
2003-06-01,15324
2003-07-01,15813
2003-08-01,15807
2003-09-01,15546
2003-10-01,16333
2003-11-01,15530
2003-12-01,18687
2004-01-01,16155
2004-02-01,15468
2004-03-01,16965
2004-04-01,16349
2004-05-01,16335
2004-06-01,16196
2004-07-01,16113
2004-08-01,16182
2004-09-01,15807
2004-10-01,16240
2004-11-01,16274
2004-12-01,18900
2005-01-01,16676
2005-02-01,16265
2005-03-01,17856
2005-04-01,16920
2005-05-01,17448
2005-06-01,17015
2005-07-01,16831
2005-08-01,17426
2005-09-01,16916
2005-10-01,17193
2005-11-01,17267
2005-12-01,19945
2006-01-01,17688
2006-02-01,17021
2006-03-01,18805
2006-04-01,17562
2006-05-01,18819
2006-06-01,18235
2006-07-01,17798
2006-08-01,18591
2006-09-01,17880
2006-10-01,18683
2006-11-01,18686
2006-12-01,21092
2007-01-01,19361
2007-02-01,18197
2007-03-01,19952
2007-04-01,18988
2007-05-01,19892
2007-06-01,19266
2007-07-01,19060
2007-08-01,19876
2007-09-01,18620
2007-10-01,19943
2007-11-01,19409
2007-12-01,21463
2008-01-01,19976
2008-02-01,19824
2008-03-01,20500
2008-04-01,19793
2008-05-01,20647
2008-06-01,19784
2008-07-01,20169
2008-08-01,19981
2008-09-01,19735
2008-10-01,20623
2008-11-01,19573
2008-12-01,22871
2009-01-01,20425
2009-02-01,19586
2009-03-01,21260
2009-04-01,20797
2009-05-01,20811
2009-06-01,20697
2009-07-01,20587
2009-08-01,20336
2009-09-01,20368
2009-10-01,21096
2009-11-01,20372
2009-12-01,23360
2010-01-01,20478
2010-02-01,19874
2010-03-01,22208
2010-04-01,21206
2010-05-01,21083
2010-06-01,21207
2010-07-01,21079
2010-08-01,21335
2010-09-01,21028
2010-10-01,21527
2010-11-01,21607
2010-12-01,24642
2011-01-01,21950
2011-02-01,21016
2011-03-01,23322
2011-04-01,21963
2011-05-01,22483
2011-06-01,22100
2011-07-01,21589
2011-08-01,22701
2011-09-01,21905
2011-10-01,22253
2011-11-01,22079
2011-12-01,24956
2012-01-01,22489
2012-02-01,22346
2012-03-01,23558
2012-04-01,22341
2012-05-01,23088
2012-06-01,21743
2012-07-01,21875
2012-08-01,22666
2012-09-01,21066
2012-10-01,22530
2012-11-01,21987
2012-12-01,24772
2013-01-01,22969
2013-02-01,21414
2013-03-01,23166
2013-04-01,22459
2013-05-01,23191
2013-06-01,21755
2013-07-01,22675
2013-08-01,22949
2013-09-01,22362
2013-10-01,23643
2013-11-01,22730
2013-12-01,26074
2014-01-01,23507
2014-02-01,22121
2014-03-01,23897
2014-04-01,23685
2014-05-01,24377
2014-06-01,23641
2014-07-01,24005
2014-08-01,24008
2014-09-01,23966
2014-10-01,24825
2014-11-01,23411
2014-12-01,28115
2015-01-01,24733
2015-02-01,23176
2015-03-01,25789
2015-04-01,24601
2015-05-01,24524
2015-06-01,24714
2015-07-01,24864
2015-08-01,24761
2015-09-01,25121
2015-10-01,25622
2015-11-01,24789
2015-12-01,29342
2016-01-01,24947
2016-02-01,25541
2016-03-01,27013
2016-04-01,25699
2016-05-01,26198
2016-06-01,26020
2016-07-01,25200
2016-08-01,26435
2016-09-01,25669
2016-10-01,25179
2016-11-01,25271
2016-12-01,29001
2017-01-01,25325
2017-02-01,24350
2017-03-01,27090
2017-04-01,25479
2017-05-01,27034
2017-06-01,26508
2017-07-01,25645
2017-08-01,27255
2017-09-01,26202
2017-10-01,27431
2017-11-01,27029
2017-12-01,30123
2018-01-01,27361
2018-02-01,25309
2018-03-01,28064
2018-04-01,26771
2018-05-01,28590
2018-06-01,27271
2018-07-01,27046
2018-08-01,28470
2018-09-01,26509
2018-10-01,29059
2018-11-01,28444
2018-12-01,30420
2019-01-01,28533
2019-02-01,26750
2019-03-01,28739
2019-04-01,28441
2019-05-01,29453
2019-06-01,27634
2019-07-01,28212
2019-08-01,28607
2019-09-01,27288
2019-10-01,29565
2019-11-01,27810
2019-12-01,31360
2020-01-01,29166
2020-02-01,27885
2020-03-01,31069
2020-04-01,25914
2020-05-01,26415
2020-06-01,28415
2020-07-01,29780
2020-08-01,28963
2020-09-01,29532
2020-10-01,30677
2020-11-01,28636
2020-12-01,33669
2021-01-01,29216
2021-02-01,27384
2021-03-01,33117
2021-04-01,31637
2021-05-01,31039
2021-06-01,32237
2021-07-01,31613
2021-08-01,32202
2021-09-01,31765
2021-10-01,32259
2021-11-01,32035
2021-12-01,36795
2022-01-01,31945
2022-02-01,29888
2022-03-01,33367
2022-04-01,32214
2022-05-01,32689
2022-06-01,33179
2022-07-01,32194
2022-08-01,33751
2022-09-01,33294
2022-10-01,33875
2022-11-01,33388
2022-12-01,37235
2023-01-01,34119
2023-02-01,32229
2023-03-01,36087
2023-04-01,34073
2023-05-01,36388
2023-06-01,35841
2023-07-01,34108
2023-08-01,36566
2023-09-01,35471
2023-10-01,38007
2023-11-01,36630
2023-12-01,39976
2024-01-01,35827
2024-02-01,34120
2024-03-01,35660
2024-04-01,35349
2024-05-01,36676
2024-06-01,35084
2024-07-01,37310
2024-08-01,38017
2024-09-01,37708
2024-10-01,39647
2024-11-01,37285
2024-12-01,42257
2025-01-01,37352
2025-02-01,35484
2025-03-01,38832
2025-04-01,38492
2025-05-01,39339
2025-06-01,39043
2025-07-01,39981
2025-08-01,39797
2025-09-01,40831
2025-10-01,42015
